timestamp,on/off,E,U,time,output_state_of_charge
2013-09-01 00:00:00,off,0,0,0,-1
2013-09-01 01:00:00,off,0,0,0,-1
2013-09-01 02:00:00,off,0,0,0,-1
2013-09-01 03:00:00,off,0,0,0,-1
2013-09-01 04:00:00,off,0,0,0,-1
2013-09-01 05:00:00,off,0,0,0,-1
2013-09-01 06:00:00,off,0,0,0,-1
2013-09-01 07:00:00,off,0,0,0,-1
2013-09-01 08:00:00,off,0,0,0,-1
2013-09-01 09:00:00,off,0,0,0,-1
2013-09-01 10:00:00,off,0,0,0,-1
2013-09-01 11:00:00,off,0,0,0,-1
2013-09-01 12:00:00,off,0,0,0,-1
2013-09-01 13:00:00,off,0,0,0,-1
2013-09-01 14:00:00,off,0,0,0,-1
2013-09-01 15:00:00,off,0,0,0,-1
2013-09-01 16:00:00,off,0,0,0,-1
2013-09-01 17:00:00,on,2.6999999999999997,0.31043520000000013,0:00:05.060417,9.26
2013-09-01 18:00:00,on,3.15,0.13940235000000004,0:00:03.898395,12.41
2013-09-01 19:00:00,on,2.6999999999999997,0.30604800000000004,0:00:02.667278,15.11
2013-09-01 20:00:00,on,0.3,0.11244570000000019,0:00:00.964521,15.41
2013-09-01 21:00:00,on,0.44999999999999996,0.017534999999999988,0:00:00.519772,15.86
2013-09-01 22:00:00,off,0,0,0,-1
2013-09-01 23:00:00,off,0,0,0,-1
2013-09-02 00:00:00,off,0,0,0,-1
2013-09-02 01:00:00,off,0,0,0,-1
2013-09-02 02:00:00,off,0,0,0,-1
2013-09-02 03:00:00,off,0,0,0,-1
2013-09-02 04:00:00,off,0,0,0,-1
2013-09-02 05:00:00,off,0,0,0,-1
2013-09-02 06:00:00,off,0,0,0,-1
2013-09-02 07:00:00,off,0,0,0,-1
2013-09-02 08:00:00,off,0,0,0,-1
2013-09-02 09:00:00,off,0,0,0,-1
2013-09-02 10:00:00,off,0,0,0,-1
2013-09-02 11:00:00,off,0,0,0,-1
2013-09-02 12:00:00,on,0.15,3.5753038500000005,0:00:05.403486,10.07
2013-09-02 13:00:00,on,2.6999999999999997,0.32498820000000017,0:00:08.799462,12.77
2013-09-02 14:00:00,on,3.5999999999999996,0.10961999999999997,0:00:07.914189,8.559999999999999
2013-09-02 15:00:00,on,2.25,0.615735,0:00:09.941479,10.809999999999999
2013-09-02 16:00:00,on,3.0,0.191454,0:00:08.147075,13.809999999999999
2013-09-02 17:00:00,on,0.6,0.7749654000000011,0:00:04.634284,14.409999999999998
2013-09-02 18:00:00,on,1.5,0.043222500000000094,0:00:02.200067,15.909999999999998
2013-09-02 19:00:00,on,0.09000000000000163,0.0025672500000000465,0:00:00.751772,16.0
2013-09-02 20:00:00,off,0,0,0,-1
2013-09-02 21:00:00,off,0,0,0,-1
2013-09-02 22:00:00,off,0,0,0,-1
2013-09-02 23:00:00,off,0,0,0,-1
2013-09-03 00:00:00,off,0,0,0,-1
2013-09-03 01:00:00,off,0,0,0,-1
2013-09-03 02:00:00,off,0,0,0,-1
2013-09-03 03:00:00,off,0,0,0,-1
2013-09-03 04:00:00,off,0,0,0,-1
2013-09-03 05:00:00,off,0,0,0,-1
2013-09-03 06:00:00,off,0,0,0,-1
2013-09-03 07:00:00,off,0,0,0,-1
2013-09-03 08:00:00,off,0,0,0,-1
2013-09-03 09:00:00,off,0,0,0,-1
2013-09-03 10:00:00,off,0,0,0,-1
2013-09-03 11:00:00,off,0,0,0,-1
2013-09-03 12:00:00,off,0,0,0,-1
2013-09-03 13:00:00,off,0,0,0,-1
2013-09-03 14:00:00,off,0,0,0,-1
2013-09-03 15:00:00,on,1.65,1.2049333500000001,0:00:10.289461,7.890000000000001
2013-09-03 16:00:00,on,2.85,0.27644009999999997,0:00:10.759420,10.74
2013-09-03 17:00:00,on,1.5,1.383858,0:00:08.419018,12.24
2013-09-03 18:00:00,on,3.4499999999999997,0.14925915,0:00:07.817082,15.69
2013-09-03 19:00:00,on,0.15,0.014498700000000048,0:00:01.044900,15.84
2013-09-03 20:00:00,off,0,0,0,-1
2013-09-03 21:00:00,off,0,0,0,-1
2013-09-03 22:00:00,off,0,0,0,-1
2013-09-03 23:00:00,off,0,0,0,-1
2013-09-04 00:00:00,off,0,0,0,-1
2013-09-04 01:00:00,off,0,0,0,-1
2013-09-04 02:00:00,off,0,0,0,-1
2013-09-04 03:00:00,off,0,0,0,-1
2013-09-04 04:00:00,off,0,0,0,-1
2013-09-04 05:00:00,off,0,0,0,-1
2013-09-04 06:00:00,off,0,0,0,-1
2013-09-04 07:00:00,off,0,0,0,-1
2013-09-04 08:00:00,on,0.0,2.219520000000001,0:00:09.336024,13.28
2013-09-04 09:00:00,on,2.55,0.14731095000000008,0:00:00.801465,15.829999999999998
2013-09-04 10:00:00,off,0,0,0,-1
2013-09-04 11:00:00,off,0,0,0,-1
2013-09-04 12:00:00,off,0,0,0,-1
2013-09-04 13:00:00,off,0,0,0,-1
2013-09-04 14:00:00,off,0,0,0,-1
2013-09-04 15:00:00,off,0,0,0,-1
2013-09-04 16:00:00,off,0,0,0,-1
2013-09-04 17:00:00,off,0,0,0,-1
2013-09-04 18:00:00,off,0,0,0,-1
2013-09-04 19:00:00,off,0,0,0,-1
2013-09-04 20:00:00,off,0,0,0,-1
2013-09-04 21:00:00,off,0,0,0,-1
2013-09-04 22:00:00,off,0,0,0,-1
2013-09-04 23:00:00,off,0,0,0,-1
2013-09-05 00:00:00,off,0,0,0,-1
2013-09-05 01:00:00,off,0,0,0,-1
2013-09-05 02:00:00,off,0,0,0,-1
2013-09-05 03:00:00,off,0,0,0,-1
2013-09-05 04:00:00,off,0,0,0,-1
2013-09-05 05:00:00,off,0,0,0,-1
2013-09-05 06:00:00,off,0,0,0,-1
2013-09-05 07:00:00,off,0,0,0,-1
2013-09-05 08:00:00,off,0,0,0,-1
2013-09-05 09:00:00,off,0,0,0,-1
2013-09-05 10:00:00,off,0,0,0,-1
2013-09-05 11:00:00,off,0,0,0,-1
2013-09-05 12:00:00,off,0,0,0,-1
2013-09-05 13:00:00,off,0,0,0,-1
2013-09-05 14:00:00,off,0,0,0,-1
2013-09-05 15:00:00,on,2.4,0.5074152000000001,0:00:05.598004,7.199999999999999
2013-09-05 16:00:00,on,3.3,0.13561620000000005,0:00:09.411650,10.5
2013-09-05 17:00:00,on,2.6999999999999997,0.34676100000000015,0:00:01.229123,13.2
2013-09-05 18:00:00,on,2.4,0.14863200000000018,0:00:01.051458,15.6
2013-09-05 19:00:00,on,0.0,0.048000000000000084,0:00:00.521952,15.6
2013-09-05 20:00:00,on,0.0,0.048000000000000084,0:00:02.266755,15.6
2013-09-05 21:00:00,on,0.0,0.048000000000000084,0:00:01.513155,15.6
2013-09-05 22:00:00,off,0,0,0,-1
