id,p,one_memory,loops,state_number,action_number,beta,k,deficit,,delta_prezzo_medio,delta_prezzo_totale,delta_carica_media,delta_carica_totale,,punteggio
CL_Battery.0,0.5,False,1000,50,25,1,,,,,,,,,
CL_Battery.1,0.5,False,1000,50,25,2.5,,,,,,,,,
CL_Battery.2,0.5,False,1000,50,25,5,,,,,,,,,
CL_Battery.3,0.5,False,1000,50,25,10,,,,,,,,,
CL_Battery.4,0.5,False,1000,50,25,20,,,,,,,,,
CL_Battery.5,0.5,True,100,50,25,1,,,,,,,,,
CL_Battery.6,0.5,True,100,50,25,2.5,,,,,,,,,
CL_Battery.7,0.5,True,100,50,25,5,,,,,,,,,
CL_Battery.8,0.5,True,100,50,25,10,,,,,,,,,
CL_Battery.9,0.5,True,100,50,25,20,,,,,,,,,
SL_Battery.0,0.5,False,1000,1,2,,50,,,,,,,,
SL_Battery.1,0.5,False,1000,1,2,,75,,,,,,,,
SL_Battery.2,0.5,False,1000,1,2,,100,,,,,,,,
SL_Battery.3,0.5,False,1000,1,2,,150,,,,,,,,
SL_Battery.4,0.5,False,1000,1,2,,200,,,,,,,,
SL_Battery.5,0.5,False,1000,50,2,,50,,,,,,,,
SL_Battery.6,0.5,False,1000,50,2,,75,,,,,,,,
SL_Battery.7,0.5,False,1000,50,2,,100,,,,,,,,
SL_Battery.8,0.5,False,1000,50,2,,150,,,,,,,,
SL_Battery.9,0.5,False,1000,50,2,,200,,,,,,,,
SL_Battery.10,0.5,True,100,1,2,,50,,,,,,,,
SL_Battery.11,0.5,True,100,1,2,,75,,,,,,,,
SL_Battery.12,0.5,True,100,1,2,,100,,,,,,,,
SL_Battery.13,0.5,True,100,1,2,,150,,,,,,,,
SL_Battery.14,0.5,True,100,1,2,,200,,,,,,,,
SL_Battery.15,0.5,True,100,50,2,,50,,,,,,,,
SL_Battery.16,0.5,True,100,50,2,,75,,,,,,,,
SL_Battery.17,0.5,True,100,50,2,,100,,,,,,,,
SL_Battery.18,0.5,True,100,50,2,,150,,,,,,,,
SL_Battery.19,0.5,True,100,50,2,,200,,,,,,,,
Naif_Battery.0,,,,,,,,0/16,,,,,,,
Naif_Battery.1,,,,,,,,0.25/16,,,,,,,
Naif_Battery.2,,,,,,,,0.5/16,,,,,,,
NSL_Battery.0,,,,,,,,,,,,,,,
